source,target,weight,weight2,color_dist,boundary_contrast
0,1,0.0,0.0,0.0,0.0
0,18,80.6841823302517,0.3164085581578498,0.3164085581578498,0.0
1,2,3.6247971463354984,0.014214890769943131,0.014214890769943131,0.0
1,18,80.6841823302517,0.3164085581578498,0.3164085581578498,0.0
1,21,13.694769146668012,0.05370497704575691,0.05370497704575691,0.0
2,3,2.4399230463383503,0.009568325671915099,0.009568325671915099,0.0
2,21,10.078411237689327,0.03952318132427187,0.03952318132427187,0.0
2,20,109.14846444541871,0.4280331939036028,0.4280331939036028,0.0
3,4,0.39012865232205396,0.0015299162836158978,0.0015299162836158978,0.0
3,20,111.58527883566869,0.4375893287673282,0.4375893287673282,0.0
4,5,4.322010236444675,0.016949059750763433,0.016949059750763433,0.0
4,20,111.96830967472827,0.4390914104891305,0.4390914104891305,0.0
5,6,21.30588574240331,0.08355249310746396,0.08355249310746396,0.0
5,19,107.6232693790302,0.4220520367805107,0.4220520367805107,0.0
5,22,130.38290496427203,0.5113055096638118,0.5113055096638118,0.0
5,20,107.65186571817938,0.4221641792869779,0.4221641792869779,0.0
6,7,26.411385572799148,0.10357406106980058,0.10357406106980058,0.0
6,13,16.294361382107,0.0638994564004196,0.0638994564004196,0.0
6,19,86.33300365600019,0.33856079865098115,0.33856079865098115,0.0
6,24,125.10952209874871,0.49062557685783814,0.49062557685783814,0.0
7,8,0.0,0.0,0.0,0.0
7,13,10.130216272979625,0.039726338325410296,0.039726338325410296,0.0
7,14,5.282142707908072,0.020714285129051265,0.020714285129051265,0.0
8,9,0.002580336398594005,1.0118966268996096e-05,1.0118966268996096e-05,0.0
8,14,5.282142707908072,0.020714285129051265,0.020714285129051265,0.0
9,10,0.3667822931419676,0.0014383619338900692,0.0014383619338900692,0.0
9,14,5.279678238292041,0.02070462054232173,0.02070462054232173,0.0
9,16,1.9607405945074707,0.007689178801990081,0.007689178801990081,0.0
9,17,3.146524178180247,0.012339310502667634,0.012339310502667634,0.0
10,11,0.36934583015377215,0.0014484150202108714,0.0014484150202108714,0.0
10,16,1.6091081702286698,0.0063102281185438034,0.0063102281185438034,0.0
10,15,6.937645559051611,0.027206453172751416,0.027206453172751416,0.0
11,12,0.0,0.0,0.0,0.0
11,15,7.29124917779024,0.02859313403054996,0.02859313403054996,0.0
12,15,7.29124917779024,0.02859313403054996,0.02859313403054996,0.0
12,23,11.9929710766752,0.047031259124216476,0.047031259124216476,0.0
13,14,4.858452365600492,0.019052754374903887,0.019052754374903887,0.0
13,24,141.39908007519895,0.5545061963733291,0.5545061963733291,0.0
13,25,123.78305998221896,0.4854237646361528,0.4854237646361528,0.0
14,17,2.2002182507076067,0.008628306865520026,0.008628306865520026,0.0
14,25,128.6382558034861,0.5044637482489651,0.5044637482489651,0.0
15,16,5.338315911660274,0.02093457220258931,0.02093457220258931,0.0
15,23,4.7333917342486815,0.018562320526465417,0.018562320526465417,0.0
15,27,140.58242869791317,0.5513036419526007,0.5513036419526007,0.0
15,29,176.17261482248193,0.6908729993038507,0.6908729993038507,0.0
15,31,95.66361622756256,0.37515143618651986,0.37515143618651986,0.0
16,17,1.2109775387029185,0.00474893152432517,0.00474893152432517,0.0
16,26,119.90184583716392,0.4702033170084859,0.4702033170084859,0.0
16,27,145.91495887416193,0.5722155249967135,0.5722155249967135,0.0
17,26,118.73656929751364,0.46563360508828877,0.46563360508828877,0.0
17,25,130.77935234811727,0.5128602052867344,0.5128602052867344,0.0
18,21,67.04159194445688,0.2629082037037525,0.2629082037037525,0.0
18,32,100.42345797677186,0.3938174822618504,0.3938174822618504,0.0
18,39,28.012008406550617,0.10985101335902203,0.10985101335902203,0.0
19,22,23.052028976559036,0.09040011363356483,0.09040011363356483,0.0
19,24,38.875290654222994,0.15245212021263918,0.15245212021263918,0.0
19,30,4.91147396104929,0.019260682200193294,0.019260682200193294,0.0
19,37,4.155019493579386,0.016294194092468184,0.016294194092468184,0.0
20,22,23.274089272595987,0.09127093832390583,0.09127093832390583,0.0
20,21,99.1054535313065,0.3886488373776725,0.3886488373776725,0.0
20,28,10.016227947649366,0.039279325284899476,0.039279325284899476,0.0
20,40,68.0275452349972,0.26677468719606745,0.26677468719606745,0.0
21,28,109.11458654746444,0.4279003394018213,0.4279003394018213,0.0
21,32,167.34559972665406,0.6562572538300159,0.6562572538300159,0.0
22,37,24.909987643786508,0.09768622605406474,0.09768622605406474,0.0
22,40,90.77439550256489,0.3559780215786858,0.3559780215786858,0.0
22,42,81.01204123214322,0.3176942793417381,0.3176942793417381,0.0
