,node,betweenness,closeness,eigenvector,degree,weighted_degree,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,centroid_row,centroid_col,bbox,mean_intensity_gray,mean_color,community_id
0,0,0.0,0.18247826032605705,0.27382461342800213,2,5.519179847832801,13301.0,726.5462479183375,0.8555702974862085,0.8751809448611659,0.6913201663201664,188.17018025384334,97.41318996765084,81.92977971581084,38.9209082023908,"(0, 0, 185, 104)",0.534712659375456,[176.95075558 118.77956545 191.05119916],6
1,1,0.0,0.16575564134751222,0.43838249480341046,2,2.9883257558917937,4757.0,457.97160876900364,0.5518028687860644,0.605062325108115,0.4594803438616826,95.33165268372134,79.50417465972657,35.56569266344334,111.93651461004835,"(0, 65, 87, 184)",0.9273641245306196,[243.21778432 233.62034896 244.96636536],6
2,2,0.11237928007023705,0.22505543635516614,0.4917628036537552,2,2.5623472264081464,5854.0,446.1076477383247,0.929997302955245,0.7548678272082527,0.5786300286646239,166.116253365662,61.058743760122475,58.61206012982576,175.92500854116844,"(0, 139, 151, 206)",0.9572634028015032,[248.07037923 242.47557226 248.54629313],2
3,3,0.16330114135206322,0.30100390816527817,0.14601181095196605,2,3.841064403761246,6524.0,707.5462479183374,0.9457418335800689,0.5414107883817427,0.3941041440135315,208.46300047721752,67.73359852376181,67.51379521765787,241.87047823421213,"(0, 192, 178, 285)",0.8830310862456572,[238.21689148 219.81974249 239.84457388],2
4,4,0.0,0.2819609441645412,0.03464943843688313,1,1.6591524390330572,3920.0,289.118795026618,0.6324997096225502,0.8044325877282988,0.6088847468157813,83.4929245204215,64.67032940265595,34.638775510204084,285.634693877551,"(0, 248, 87, 322)",0.9883067438975591,[252.70102041 251.75229592 252.64438776],2
5,5,0.21378402107111502,0.3386688802146879,0.0853685007562388,4,8.039492488356618,25674.0,1548.4366876077088,0.9683287283936621,0.6207596895476196,0.38982690555724264,395.95443415690806,98.8614046613733,173.97557840616966,308.99450806263144,"(0, 229, 356, 414)",0.5629562892802209,[184.80953494 126.00627094 196.07408273],2
6,6,0.0,0.3487673486232657,0.040231782072992,2,6.349339569510285,3099.0,254.2253967444162,0.5492276896170665,0.793394777265745,0.5544820182501342,71.170769697409,59.4754728269161,32.30074217489513,402.7173281703775,"(0, 358, 69, 439)",0.9903255902916184,[253.2768635  252.24911262 253.15779284],2
7,8,0.31387181738366987,0.49844046019492977,0.010607761444502102,2,3.5369810489360223,4131.0,467.025432638166,0.651152649429805,0.5557648325036997,0.3018633540372671,99.23191839167743,75.31174573861541,52.23045267489712,496.1282982328734,"(0, 428, 119, 543)",0.9543732988736526,[248.1016703  241.45557976 248.35318325],2
8,9,0.44073748902546095,0.5963166145000746,0.012807776276474413,7,19.40856968493884,20071.0,1819.4438302826452,0.9837639702261484,0.45526924647280315,0.32262264514884587,542.981271057108,97.44729056376015,206.71187285137762,538.2741268496836,"(0, 445, 412, 596)",0.570224867700057,[184.99172936 128.45633003 196.93398436],4
9,10,0.0,0.46896503071897633,0.008117428350426607,2,3.75047276445963,3568.0,318.81727983645294,0.4601594247278725,0.812016385980883,0.7287581699346405,75.09802997932731,66.67475742247582,30.52494394618834,605.8651905829596,"(0, 576, 72, 644)",0.90356228226941,[240.41283632 226.25924888 242.09136771],4
10,11,0.0,0.45971670788831837,0.0052506376419747735,2,3.7161220753141873,5128.0,655.5756851698602,0.8829768413776551,0.691757722919196,0.5635164835164835,137.0172049698214,64.3181436733847,52.81396255850234,660.4457878315133,"(0, 621, 130, 691)",0.8992281916276651,[240.74902496 224.60062402 242.22932917],0
11,12,0.1922739244951712,0.5833037207089259,0.003854101363736601,4,10.268274336090553,31893.0,2565.5697679841996,0.9526863606036964,0.6390742410580103,0.4496404906245594,420.55281515890596,127.82916987634424,190.45624431693474,689.5071645815697,"(0, 595, 410, 768)",0.5602890361213937,[183.16069357 125.66450318 194.89141818],0
12,13,0.11808604038630377,0.4733517947415971,0.001770440097054781,5,12.97859419568694,34831.0,2324.1677477306466,0.9070778726602161,0.6564331618326078,0.46202313365522363,374.9701417707917,157.8485048224367,193.15018230886278,810.2403318882605,"(0, 735, 401, 923)",0.5563393936998876,[183.67660992 124.15110103 194.41842037],1
13,14,0.0,0.36791456114451193,0.0007356561090500355,1,1.6274321261205331,3136.0,234.2193000900063,0.4775751309035208,0.9581423770241368,0.819226750261233,69.59104496300624,61.14205980735696,25.887436224489797,825.3389668367347,"(0, 790, 58, 856)",0.9897846915016008,[252.52710459 252.34119898 252.54081633],1
14,15,0.0,0.4058423059565242,0.0016698546980480399,3,5.560807671438642,3754.0,317.47413408594537,0.6749245089878908,0.8967988533205925,0.7158657513348589,82.99168696520628,61.23846905903907,32.15103889184869,880.7951518380394,"(0, 850, 76, 919)",0.9674150333761634,[249.28156633 245.64810868 249.40143847],1
15,16,0.13784021071115013,0.4434508129298683,0.0018157570444893387,6,16.171353002190877,19038.0,1900.746391493337,0.9757780438906827,0.5055633746713758,0.3625249928591831,450.44048435704786,98.53966935787327,204.81536926147706,952.7486080470637,"(0, 889, 389, 1024)",0.6557599330750264,[199.5576216  153.54569808 207.57553314],1
16,17,0.0,0.3695990277399465,0.001035122098371789,2,3.605872663648116,2719.0,284.6040764008565,0.8042499411391504,0.6964651639344263,0.5864969801553063,82.49256569254258,49.024605980055554,19.049282824567857,988.7123942625965,"(0, 948, 61, 1024)",0.9774779000353357,[250.29312247 248.66826039 252.04303053],1
