label,anomaly_score,z_area,z_betweenness
52,5.087277076235925,0.6945576325637558,4.39271944367217
13,4.735467016410769,4.086728707099757,0.6487383093110115
12,3.899432045137755,3.651244338871732,0.24818770626602268
5,3.704499058613437,2.7294345070098918,0.975064551603545
8,3.1626680050588174,0.4637716688704152,2.6988963361884024
9,2.54766944151436,1.8989311322033486,0.6487383093110115
60,2.414661623836695,0.8527607200340496,1.5619009038026452
16,2.394553256225201,1.7458149469141895,0.6487383093110115
26,2.3653529769396595,1.716614667628648,0.6487383093110115
22,2.351982560900026,0.7600729799962905,1.5919095809037356
49,2.3430636503773132,0.31436110277992874,2.0287025475973843
55,2.335075819476533,0.7031546691046767,1.6319211503718563
58,2.325978991826018,0.7774152778460792,1.5485637139799386
51,2.261426345562009,0.7095283341263938,1.5518980114356151
46,2.059443505424835,0.3908450830405349,1.6685984223842998
33,2.0348117444180476,1.386073435107036,0.6487383093110115
36,1.839886853150574,0.6647644542064267,1.1751223989441475
23,1.5840602250914908,0.9353219157804792,0.6487383093110115
0,1.5441877625137717,0.89544945320276,0.6487383093110115
21,1.4968263560398298,0.02161718608477924,1.4752091699550507
41,1.4887793114377894,0.8433752995824546,0.6454040118553348
19,1.4658793446131204,0.8238096302134623,0.642069714399658
28,1.427339385300666,0.7786010759896544,0.6487383093110115
47,1.3929512391369827,0.7442129298259711,0.6487383093110115
75,1.3877633722588407,0.7390250629478292,0.6487383093110115
64,1.3800556843256013,0.7313173750145898,0.6487383093110115
77,1.379018110949973,0.7302798016389614,0.6487383093110115
54,1.288897452038251,0.6401591427272395,0.6487383093110115
18,1.2724917628670833,0.6237534535560719,0.6487383093110115
6,1.265477938702639,0.6167396293916275,0.6487383093110115
14,1.2599936222886035,0.6112553129775918,0.6487383093110115
68,1.2484320903887443,0.5996937810777327,0.6487383093110115
39,1.2280890641918663,0.7031546691046767,0.5249343950871894
20,1.2246225900330696,1.2165043005757696,0.008118289457299874
29,1.222048081694194,0.5733097723831825,0.6487383093110115
32,1.1972945454470598,0.5485562361360484,0.6487383093110115
10,1.1959605225355376,0.5472222132245261,0.6487383093110115
69,1.1586078810129161,0.5098695717019046,0.6487383093110115
4,1.143785404218225,0.49504709490721344,0.6487383093110115
72,1.1384493125721362,0.48971100326112466,0.6487383093110115
11,1.127675551502731,0.3159915752273448,0.8116839762753861
73,1.1216999137941353,0.4729616044831237,0.6487383093110115
35,1.1116547098539236,0.5700488274883505,0.541605882365573
17,1.0984054209921257,0.6730650412114537,0.4253403797806721
45,1.081975675984363,0.4332373666733515,0.6487383093110115
30,1.061824447271345,0.5631295234657853,0.49869492380555963
61,1.029403143434149,0.3806648341231376,0.6487383093110115
1,1.0197212734466603,0.3709829641356488,0.6487383093110115
15,0.9178834981578752,0.5196524063864006,0.39823109177147453
48,0.8953974031714148,0.6905555638291893,0.20484183934222555
57,0.8911231117559992,0.3024021566471685,0.5887209551088307
59,0.857248521003305,0.7357641180529971,0.12148440295030782
40,0.8528201847384383,0.20408187542742687,0.6487383093110115
50,0.8035362092192192,0.1581321973638844,0.6454040118553348
34,0.779893598908558,0.13115528959754658,0.6487383093110115
53,0.7680445643319012,0.7665948697859547,0.00144969454594641
62,0.7345368199168033,0.08579851060579177,0.6487383093110115
43,0.7056329901671556,0.056894680856144096,0.6487383093110115
3,0.7006901433741805,0.10906979917345681,0.5916203442007236
24,0.6904130991395633,0.04167478982855182,0.6487383093110115
44,0.684830706284081,0.25615602904773227,0.42867467723634883
67,0.668280348644534,0.019542039333522485,0.6487383093110115
25,0.6670595786555389,0.26549418942838765,0.40156538922715124
63,0.6058423599344794,0.12715322086297998,0.47868913907149946
56,0.5428815269174405,0.3342704817557544,0.20861104516168613
2,0.41322223304011285,0.20838039369788727,0.20484183934222555
37,0.4065028417397477,0.027842626338549507,0.3786602154011982
42,0.11649574450821926,0.11504604996227284,0.00144969454594641
65,0.10702416626320758,0.09513667098644717,0.011887495276760413
