node,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,centroid_row,centroid_col,bbox,mean_intensity_gray,mean_color
0,13301.0,726.5462479183375,0.8555702974862085,0.8751809448611659,0.6913201663201664,188.17018025384334,97.41318996765084,81.92977971581084,38.9209082023908,"(0, 0, 185, 104)",0.534712659375456,[176.95075558 118.77956545 191.05119916]
1,4757.0,457.97160876900364,0.5518028687860644,0.605062325108115,0.4594803438616826,95.33165268372134,79.50417465972657,35.56569266344334,111.93651461004835,"(0, 65, 87, 184)",0.9273641245306196,[243.21778432 233.62034896 244.96636536]
2,5854.0,446.1076477383247,0.929997302955245,0.7548678272082527,0.5786300286646239,166.116253365662,61.058743760122475,58.61206012982576,175.92500854116844,"(0, 139, 151, 206)",0.9572634028015032,[248.07037923 242.47557226 248.54629313]
3,6524.0,707.5462479183374,0.9457418335800689,0.5414107883817427,0.3941041440135315,208.46300047721752,67.73359852376181,67.51379521765787,241.87047823421213,"(0, 192, 178, 285)",0.8830310862456572,[238.21689148 219.81974249 239.84457388]
4,3920.0,289.118795026618,0.6324997096225502,0.8044325877282988,0.6088847468157813,83.4929245204215,64.67032940265595,34.638775510204084,285.634693877551,"(0, 248, 87, 322)",0.9883067438975591,[252.70102041 251.75229592 252.64438776]
5,25674.0,1548.4366876077088,0.9683287283936621,0.6207596895476196,0.38982690555724264,395.95443415690806,98.8614046613733,173.97557840616966,308.99450806263144,"(0, 229, 356, 414)",0.5629562892802209,[184.80953494 126.00627094 196.07408273]
6,3099.0,254.2253967444162,0.5492276896170665,0.793394777265745,0.5544820182501342,71.170769697409,59.4754728269161,32.30074217489513,402.7173281703775,"(0, 358, 69, 439)",0.9903255902916184,[253.2768635  252.24911262 253.15779284]
7,3134.0,248.36753236814712,0.4630077382488635,0.9280426413976902,0.6443256578947368,70.9053722569477,62.84727716095918,25.07498404594767,454.12699425654114,"(0, 420, 64, 496)",0.9945285837806724,[253.76451819 253.54275686 253.74952138]
8,4131.0,467.025432638166,0.651152649429805,0.5557648325036997,0.3018633540372671,99.23191839167743,75.31174573861541,52.23045267489712,496.1282982328734,"(0, 428, 119, 543)",0.9543732988736526,[248.1016703  241.45557976 248.35318325]
9,20071.0,1819.4438302826452,0.9837639702261484,0.45526924647280315,0.32262264514884587,542.981271057108,97.44729056376015,206.71187285137762,538.2741268496836,"(0, 445, 412, 596)",0.570224867700057,[184.99172936 128.45633003 196.93398436]
10,3568.0,318.81727983645294,0.4601594247278725,0.812016385980883,0.7287581699346405,75.09802997932731,66.67475742247582,30.52494394618834,605.8651905829596,"(0, 576, 72, 644)",0.90356228226941,[240.41283632 226.25924888 242.09136771]
11,5128.0,655.5756851698602,0.8829768413776551,0.691757722919196,0.5635164835164835,137.0172049698214,64.3181436733847,52.81396255850234,660.4457878315133,"(0, 621, 130, 691)",0.8992281916276651,[240.74902496 224.60062402 242.22932917]
12,31893.0,2565.5697679841996,0.9526863606036964,0.6390742410580103,0.4496404906245594,420.55281515890596,127.82916987634424,190.45624431693474,689.5071645815697,"(0, 595, 410, 768)",0.5602890361213937,[183.16069357 125.66450318 194.89141818]
13,34831.0,2324.1677477306466,0.9070778726602161,0.6564331618326078,0.46202313365522363,374.9701417707917,157.8485048224367,193.15018230886278,810.2403318882605,"(0, 735, 401, 923)",0.5563393936998876,[183.67660992 124.15110103 194.41842037]
14,3136.0,234.2193000900063,0.4775751309035208,0.9581423770241368,0.819226750261233,69.59104496300624,61.14205980735696,25.887436224489797,825.3389668367347,"(0, 790, 58, 856)",0.9897846915016008,[252.52710459 252.34119898 252.54081633]
15,3754.0,317.47413408594537,0.6749245089878908,0.8967988533205925,0.7158657513348589,82.99168696520628,61.23846905903907,32.15103889184869,880.7951518380394,"(0, 850, 76, 919)",0.9674150333761634,[249.28156633 245.64810868 249.40143847]
16,19038.0,1900.746391493337,0.9757780438906827,0.5055633746713758,0.3625249928591831,450.44048435704786,98.53966935787327,204.81536926147706,952.7486080470637,"(0, 889, 389, 1024)",0.6557599330750264,[199.5576216  153.54569808 207.57553314]
17,2719.0,284.6040764008565,0.8042499411391504,0.6964651639344263,0.5864969801553063,82.49256569254258,49.024605980055554,19.049282824567857,988.7123942625965,"(0, 948, 61, 1024)",0.9774779000353357,[250.29312247 248.66826039 252.04303053]
18,11468.0,1153.216341497176,0.9777681189126689,0.6305949631584735,0.4438252254344208,315.3207702173945,66.1193187281313,170.46041158004883,995.4692186955006,"(34, 937, 331, 1024)",0.482785213107915,[169.14405302 103.23848971 184.60891175]
19,1702.0,368.4213562373095,0.9176536627764985,0.5211267605633803,0.29183813443072704,106.57989113024925,42.352836595380985,69.25734430082257,1003.4012925969448,"(36, 970, 144, 1024)",0.31725245432132904,[131.37837838  58.31551116 156.20740306]
20,15467.0,1425.5016587651646,0.9856028918364842,0.5656658011191165,0.43016464567805096,424.58490540758606,71.78742612802525,234.44320165513673,604.0925842115472,"(58, 547, 414, 648)",0.4770883114334504,[169.60095688 101.09801513 184.35223379]
21,7114.0,1014.0386719675123,0.9819924795249219,0.36523257007906357,0.24217047930283225,355.79950478505316,67.2176459813608,193.18372223784087,157.74838346921564,"(60, 88, 332, 196)",0.34928978154095486,[142.73755974  65.38543717 165.88656171]
22,2132.0,253.40916292848974,0.9176391338887703,0.8196847366397539,0.6115892139988526,89.24555297451757,35.467491987104154,108.19136960600375,412.1585365853659,"(61, 391, 144, 433)",0.8390130274436229,[231.12288931 206.90478424 233.21810507]
23,13570.0,1168.3767670841366,0.5922347703317377,0.5269289014872054,0.39833269733172866,210.3297327258278,169.4764338781919,154.29948415622698,467.1217391304348,"(61, 383, 270, 546)",0.5405970376695999,[181.29801032 119.28938836 193.99152542]
24,7541.0,941.4884194358182,0.8068351323524613,0.5149900976575839,0.3352896714241252,172.6140673187298,101.97636321157866,118.19400609998674,880.5600053043363,"(61, 800, 208, 953)",0.5217369581711481,[176.35287097 114.32197321 191.15117358]
25,9051.0,734.3218971944477,0.9846383362369545,0.7207931830851318,0.45990853658536585,284.47238913932495,49.67066057736598,177.03281405369572,365.36239089603356,"(63, 324, 309, 404)",0.46122641796703207,[165.73781903  96.70865098 183.1911391 ]
26,18841.0,1274.6610383315985,0.9352140713613745,0.6800822985850419,0.5021053192623388,291.2671989481986,103.13271007008247,203.800806751234,221.28496364311874,"(71, 159, 389, 277)",0.4611468458961526,[165.21554058  97.01756807 181.38384375]
27,23457.0,1180.4650788387053,0.9362585026980234,0.7982372558361124,0.4917610062893082,311.28057089813626,109.35655330891315,220.93136377200835,64.99901948245726,"(87, 0, 387, 159)",0.48146435127438025,[169.26431342 102.86869591 183.2521209 ]
28,2007.0,220.81727983645294,0.7936207771368513,0.8947837717342845,0.7306152165999272,65.76673934958804,40.01332208327321,137.45241654210264,581.8116591928251,"(105, 561, 172, 602)",0.8539594908018014,[234.31938216 211.0568012  235.46138515]
29,3392.0,709.8782463805517,0.8640261137338668,0.5045366651792355,0.3269712743396954,127.66303714128311,64.27157216922252,178.83166273584905,915.9681603773585,"(126, 872, 240, 963)",0.3011980668470218,[128.58873821  52.87588443 161.62264151]
30,11059.0,902.8965363437815,0.8848363993795217,0.7883518676931851,0.6942247332077841,181.1334285341502,84.39040188071388,235.44371100461163,458.39949362510174,"(157, 414, 334, 504)",0.47145918075775384,[170.01907948  99.03562709 183.67474455]
31,5937.0,589.1675682618969,0.9349169338470276,0.8021888933927848,0.6383870967741936,153.716555137558,54.54887626907666,241.59440795014316,127.88664308573354,"(164, 97, 319, 157)",0.4281267761165439,[161.8020886   86.70608051 176.97439784]
32,3559.0,673.0376259469859,0.9449565767909257,0.5341437790784932,0.4502213788741303,151.2898216600158,49.50138878347994,262.70328744029223,709.721831975274,"(168, 682, 323, 733)",0.2534889963583073,[121.30963754  39.28294465 149.21466704]
33,16611.0,1316.3828637385466,0.7041598119833365,0.689596479574892,0.45652173913043476,193.32417294410462,137.26818948250846,328.9139726687135,390.0594184576485,"(187, 318, 413, 479)",0.4523121390621146,[164.82282825  94.10553248 180.18927217]
34,6375.0,827.2213921310595,0.8464277049315648,0.6136298007507941,0.4141223853449396,145.2855878545342,77.3651062425037,288.52862745098037,518.0252549019608,"(188, 481, 367, 567)",0.41369862723567863,[156.84062745  83.42901961 173.08454902]
35,3414.0,397.45079348883235,0.9124729667477277,0.7271565495207668,0.5937391304347827,110.66455623924415,45.27696457115648,272.6189220855302,589.7981839484476,"(210, 566, 325, 616)",0.3476784948941498,[142.07059168  65.1321031  164.66725249]
36,2775.0,364.8355697996826,0.916188619456902,0.7198443579766537,0.5112380250552689,107.51075692835423,43.084647588207496,294.00828828828827,967.3790990990991,"(226, 944, 344, 990)",0.2959884645115704,[127.05477477  52.19891892 154.43567568]
37,7072.0,589.6883835420683,0.8883986094749997,0.7738264580369844,0.6089727030052527,146.16646118496442,67.10105853938359,325.0459558823529,846.0647624434389,"(243, 809, 390, 888)",0.3971151236026084,[154.42477376  78.08003394 174.62740385]
38,3742.0,674.7005768508882,0.8515945324018346,0.5683475091130012,0.3548601232811759,119.61705273846671,62.70338596259437,321.92116515232493,94.06440406199893,"(262, 43, 373, 138)",0.39331254524685344,[150.13495457  78.46632817 169.98904329]
39,2516.0,421.3269478283311,0.8887947462178625,0.6904500548847421,0.5736434108527132,102.55165411369495,46.999983507940144,329.1554054054054,765.6724960254372,"(275, 745, 377, 788)",0.29227082889117495,[130.73569157  49.48052464 157.41136725]
40,5883.0,631.8366158202091,0.7749521549563568,0.6320369574559519,0.34884962049335866,130.95020291198563,82.76313451536662,347.22352541220465,902.8561958184599,"(275, 806, 399, 942)",0.4755412833255009,[167.10538841 101.39928608 183.24664287]
41,1570.0,308.75840533340727,0.7563411816234221,0.6335754640839386,0.5051480051480052,68.76064427008235,44.981656669232535,334.5452229299363,464.2872611464968,"(293, 445, 367, 487)",0.2198596740352192,[112.80509554  30.23566879 145.11146497]
42,8036.0,536.3685783886737,0.5444922622638858,0.8422597212032281,0.6597701149425287,115.62496736020034,96.98227576661529,361.10614733698355,705.9252115480339,"(301, 654, 406, 770)",0.5165486798621888,[176.91799403 112.55151817 188.70296167]
43,6876.0,699.8782463805518,0.7731432785161892,0.6295550265519135,0.3846498098008503,149.0253306331843,94.51654433428041,375.5612274578243,306.1694299011053,"(305, 235, 414, 399)",0.4547279593699027,[164.86925538  94.97876672 179.93208261]
44,8988.0,775.1858582251267,0.7866694592989474,0.701037360580298,0.5356057445920982,147.21884171808094,90.88914550884185,359.45471740097906,178.87160658655986,"(309, 85, 406, 258)",0.5235949263069714,[178.80796618 114.44336894 189.28193146]
45,4337.0,691.842712474619,0.896741256901552,0.628915313225058,0.4499896244034032,136.55702821656925,60.43402495852861,365.8575051879179,82.41526400737837,"(322, 20, 401, 142)",0.42798208014033373,[156.43855199  88.39174545 175.54484667]
46,4623.0,524.7827919510468,0.8764647796315954,0.8423833819241983,0.6934153292335383,116.12686150299528,55.91113319812162,400.8336577979667,976.162448626433,"(373, 911, 432, 1024)",0.5938493003863885,[210.16807268 129.78520441 193.10015142]
47,2239.0,273.47413408594537,0.9321089277990096,0.7878254750175933,0.6057900432900433,93.37429706464913,33.81812170956851,399.04019651630193,38.94685127288968,"(377, 0, 421, 84)",0.5163886104616031,[209.86958464 103.68736043 178.97186244]
