source,target,weight,weight2,color_dist,boundary_contrast
0,1,12.506101096823773,0.0490435337130344,0.0490435337130344,0.0
0,9,132.18597123368667,0.5183763577791635,0.5183763577791635,0.0
1,2,33.05510588811549,0.1296278662279039,0.1296278662279039,0.0
1,9,119.83565543265644,0.4699437467947311,0.4699437467947311,0.0
1,11,147.75262923827688,0.5794220754442231,0.5794220754442231,0.0
2,3,44.462705290592474,0.17436355015918617,0.17436355015918617,0.0
2,10,84.85351255135407,0.3327588727504081,0.3327588727504081,0.0
2,11,116.57088968130483,0.45714074384825426,0.45714074384825426,0.0
2,4,37.47533956540306,0.14696211594275707,0.14696211594275707,0.0
2,17,95.92353036654943,0.3761707073198017,0.3761707073198017,0.0
2,18,66.1770219923674,0.2595177333034015,0.2595177333034015,0.0
2,19,93.28370560004745,0.3658184533335194,0.3658184533335194,0.0
3,4,6.99212932034966,0.02742011498176337,0.02742011498176337,0.0
4,5,22.81235126222505,0.08946020102833352,0.08946020102833352,0.0
4,14,76.75706352392778,0.3010080922506972,0.3010080922506972,0.0
4,18,103.38795252331958,0.40544295107184153,0.40544295107184153,0.0
5,6,32.44997982495562,0.12725482284296322,0.12725482284296322,0.0
5,7,32.67504123432601,0.12813741660520003,0.12813741660520003,0.0
5,8,11.565165041013865,0.0453535883961328,0.0453535883961328,0.0
5,13,125.78162273414989,0.4932612656241173,0.4932612656241173,0.0
5,14,54.02213939290161,0.21185152703098667,0.21185152703098667,0.0
5,16,100.46443054708115,0.3939781590081613,0.3939781590081613,0.0
6,7,0.8531350838561915,0.0033456277798282015,0.0033456277798282015,0.0
7,8,21.252690387217253,0.08334388387144019,0.08334388387144019,0.0
8,13,136.32830362606921,0.5346207985336048,0.5346207985336048,0.0
8,15,120.11855602687412,0.47105316088970234,0.47105316088970234,0.0
9,11,31.17889770053489,0.12227018706092113,0.12227018706092113,0.0
9,23,26.27406112513291,0.10303553382405063,0.10303553382405063,0.0
10,11,42.991737683682246,0.1685950497399304,0.1685950497399304,0.0
10,12,24.161402778230006,0.09475059913031374,0.09475059913031374,0.0
10,19,27.99789106184192,0.1097956512229095,0.1097956512229095,0.0
11,12,32.18279691336928,0.12620704671909522,0.12620704671909522,0.0
11,23,52.152884325778295,0.20452111500305212,0.20452111500305212,0.0
11,22,3.481957743528104,0.01365473624912982,0.01365473624912982,0.0
11,28,54.87984306386171,0.21521507083867342,0.21521507083867342,0.0
11,29,12.99706292887272,0.050968874230873415,0.050968874230873415,0.0
12,22,32.97028201114294,0.12929522357310957,0.12929522357310957,0.0
12,19,9.06120007066083,0.035534117924160113,0.035534117924160113,0.0
13,15,17.11628710961157,0.06712269454749635,0.06712269454749635,0.0
13,16,25.6834047226612,0.1007192342065145,0.1007192342065145,0.0
13,25,7.354791096045605,0.028842318023708253,0.028842318023708253,0.0
13,32,11.521370971049368,0.04518184694529164,0.04518184694529164,0.0
13,33,39.36761890034157,0.15438281921702576,0.15438281921702576,0.0
14,16,47.70492927648291,0.18707815402542316,0.18707815402542316,0.0
14,18,26.70022016590726,0.10470674574865595,0.10470674574865595,0.0
14,20,81.24471609965977,0.3186067298025873,0.3186067298025873,0.0
14,24,97.97376489471652,0.3842108427243785,0.3842108427243785,0.0
14,25,79.94981629758259,0.313528691363069,0.313528691363069,0.0
15,26,12.977717058676715,0.05089300807324203,0.05089300807324203,0.0
15,32,22.456178795777934,0.08806344625795266,0.08806344625795266,0.0
16,25,32.32571597722847,0.12676751363619007,0.12676751363619007,0.0
17,18,32.30302879574725,0.12667854429704806,0.12667854429704806,0.0
17,21,5.325924680343837,0.020885979138603284,0.020885979138603284,0.0
17,19,5.549276850227182,0.02176187000089091,0.02176187000089091,0.0
17,20,26.252367812831896,0.10295046201110547,0.10295046201110547,0.0
17,31,20.453078266411758,0.08020815006435983,0.08020815006435983,0.0
18,20,58.40803633044536,0.22905112286449164,0.22905112286449164,0.0
19,22,24.007859293077043,0.09414846781598839,0.09414846781598839,0.0
19,21,3.207029344779543,0.012576585665802128,0.012576585665802128,0.0
19,30,96.29692409948247,0.3776349964685587,0.3776349964685587,0.0
19,34,32.53445379412993,0.12758609331031348,0.12758609331031348,0.0
19,36,25.75839867186755,0.10101332812497077,0.10101332812497077,0.0
20,24,18.079595654184434,0.07090037511444876,0.07090037511444876,0.0
20,27,27.678564547389723,0.10854339038192048,0.10854339038192048,0.0
20,31,10.43300022648344,0.04091372637836644,0.04091372637836644,0.0
21,30,93.25488381033655,0.3657054267072022,0.3657054267072022,0.0
21,31,20.37809211829712,0.07991408673842006,0.07991408673842006,0.0
22,29,14.788792405834121,0.057995264336604395,0.057995264336604395,0.0
22,34,11.622333056032645,0.0455777766903241,0.0455777766903241,0.0
23,28,106.28772067516671,0.4168145908830067,0.4168145908830067,0.0
24,27,41.90407111009964,0.16432969062784175,0.16432969062784175,0.0
24,25,18.02762447492106,0.07069656656831788,0.07069656656831788,0.0
25,33,45.060052827752536,0.1767060895205982,0.1767060895205982,0.0
25,27,24.245645060307396,0.09508096102081331,0.09508096102081331,0.0
25,37,18.32228707460164,0.07185210617490839,0.07185210617490839,0.0
25,44,7.467789043995596,0.029285447231355274,0.029285447231355274,0.0
26,35,10.739874391748398,0.04211715447744469,0.04211715447744469,0.0
26,32,16.148139104508445,0.06332603570395469,0.06332603570395469,0.0
27,31,20.49897111587979,0.08038812202305799,0.08038812202305799,0.0
27,42,59.083492550648195,0.23169997078685567,0.23169997078685567,0.0
27,44,18.554063605901543,0.0727610337486335,0.0727610337486335,0.0
28,29,67.7631180498515,0.26573771784255484,0.26573771784255484,0.0
29,34,21.08663065285996,0.08269266922690179,0.08269266922690179,0.0
29,38,16.78907074680317,0.0658394931247183,0.0658394931247183,0.0
29,39,20.472376385237602,0.08028382896171608,0.08028382896171608,0.0
29,43,35.25710545403693,0.1382631586432821,0.1382631586432821,0.0
30,31,74.64863435499234,0.2927397425685974,0.2927397425685974,0.0
30,36,73.04825326265733,0.2864637382849307,0.2864637382849307,0.0
31,36,2.7771609310177072,0.010890827180461598,0.010890827180461598,0.0
31,42,38.72514807938678,0.15186332580151676,0.15186332580151676,0.0
31,45,5.650905816594147,0.02216041496703587,0.02216041496703587,0.0
32,33,41.9496195070703,0.16450831179243255,0.16450831179243255,0.0
32,35,5.44919234317539,0.021369381737942703,0.021369381737942703,0.0
32,37,20.6346087041851,0.08092003413405921,0.08092003413405921,0.0
32,40,19.748377789017617,0.07744461878046123,0.07744461878046123,0.0
32,41,8.182045261618853,0.032086452006348444,0.032086452006348444,0.0
33,37,62.32239478165753,0.24440154816336285,0.24440154816336285,0.0
34,36,7.054918072930471,0.027666345384041065,0.027666345384041065,0.0
34,38,4.866496426786523,0.019084299712888327,0.019084299712888327,0.0
34,46,7.405952608048219,0.029042951404110662,0.029042951404110662,0.0
35,40,21.86228385026842,0.08573444647164086,0.08573444647164086,0.0
36,45,2.9561997398685627,0.011592940156347304,0.011592940156347304,0.0
36,46,14.408982867540786,0.05650581516682661,0.05650581516682661,0.0
37,41,12.672664913685434,0.04969672515170759,0.04969672515170759,0.0
37,44,22.746810745703666,0.08920317939491636,0.08920317939491636,0.0
38,39,4.422288257731215,0.017342306893063587,0.017342306893063587,0.0
38,46,12.159608800014139,0.04768474039221231,0.04768474039221231,0.0
39,43,15.031159835040366,0.058945724843295556,0.058945724843295556,0.0
39,46,8.158454104913751,0.03199393766632844,0.03199393766632844,0.0
39,48,64.24061488750871,0.2519239799510145,0.2519239799510145,0.0
39,55,36.515700052927194,0.14319882373696935,0.14319882373696935,0.0
39,54,49.8510732543995,0.19549440491921374,0.19549440491921374,0.0
40,41,11.594767445755261,0.04546967625786377,0.04546967625786377,0.0
40,47,60.097670536997484,0.23567713936077445,0.23567713936077445,0.0
40,49,50.51443858468222,0.1980958375869891,0.1980958375869891,0.0
41,44,10.27845795958901,0.04030767827289807,0.04030767827289807,0.0
41,47,48.50850675453497,0.19022943825307834,0.19022943825307834,0.0
41,50,55.337721268856114,0.21701067164257298,0.21701067164257298,0.0
41,56,42.854386685402304,0.16805641837412671,0.16805641837412671,0.0
42,44,40.592591370679244,0.1591866328261931,0.1591866328261931,0.0
42,45,34.77724227678775,0.13638134226191276,0.13638134226191276,0.0
42,53,85.80798178468001,0.3365018893516863,0.3365018893516863,0.0
42,51,66.3702962829499,0.2602756716978427,0.2602756716978427,0.0
43,48,79.23417553907885,0.31072225701599543,0.31072225701599543,0.0
44,50,46.161289508317054,0.18102466473849826,0.18102466473849826,0.0
44,51,31.03804911001457,0.12171783964711595,0.12171783964711595,0.0
45,46,12.057789602777502,0.04728544942265687,0.04728544942265687,0.0
45,52,59.798640754060116,0.23450447354533382,0.23450447354533382,0.0
45,53,51.33616259939323,0.20131828470350285,0.20131828470350285,0.0
45,54,46.5223501982835,0.18244058901287644,0.18244058901287644,0.0
45,58,43.75681079978872,0.1715953364697597,0.1715953364697597,0.0
46,54,56.623419971743516,0.22205262734017067,0.22205262734017067,0.0
47,49,27.368139001746464,0.10732603530096654,0.10732603530096654,0.0
47,56,37.04752479437149,0.1452844109583196,0.1452844109583196,0.0
47,57,16.02889121834305,0.06285839693467864,0.06285839693467864,0.0
47,61,42.038716954120105,0.16485771354556905,0.16485771354556905,0.0
47,62,90.64560477208022,0.3554729598905107,0.3554729598905107,0.0
47,51,22.426945395243013,0.08794880547154121,0.08794880547154121,0.0
48,55,50.45511918892328,0.1978632125055815,0.1978632125055815,0.0
48,60,10.692701580718971,0.04193216306164302,0.04193216306164302,0.0
49,57,43.29525377047955,0.16978530890384136,0.16978530890384136,0.0
50,51,20.333843556916634,0.07974056296830052,0.07974056296830052,0.0
50,56,31.536795807286406,0.12367370904818197,0.12367370904818197,0.0
51,53,24.03815800884241,0.09426728630918592,0.09426728630918592,0.0
51,56,15.091800497502394,0.059183531362754484,0.059183531362754484,0.0
51,62,111.9957420749519,0.4391989885292232,0.4391989885292232,0.0
51,63,67.89088426351232,0.26623876181769535,0.26623876181769535,0.0
52,58,19.376762448749723,0.07598730372058715,0.07598730372058715,0.0
52,53,8.492265989956739,0.033303003882183296,0.033303003882183296,0.0
52,59,45.21130319814747,0.17729922822802932,0.17729922822802932,0.0
52,63,38.95317211168828,0.1527575376928952,0.1527575376928952,0.0
52,64,37.57368901278408,0.14734780005013362,0.14734780005013362,0.0
53,59,39.4292327508276,0.1546244421601082,0.1546244421601082,0.0
53,63,44.2569875857525,0.1735568140617745,0.1735568140617745,0.0
54,58,8.971892139981014,0.035183890745023594,0.035183890745023594,0.0
54,55,20.829301987149872,0.0816835372045093,0.0816835372045093,0.0
54,60,37.07294666847852,0.14538410458226872,0.14538410458226872,0.0
55,60,51.58472986045709,0.2022930582763023,0.2022930582763023,0.0
57,61,27.35919506915939,0.10729096105552702,0.10729096105552702,0.0
