label,anomaly_score,z_area,z_betweenness
2,3.5269480408913405,0.6963941024394423,2.830553938451898
16,2.9879360366175245,1.5857546114534724,1.4021814251640523
19,2.9108096758326045,2.187041313777538,0.7237683620550668
10,2.8011950040945637,1.2329237518040175,1.568271252290546
8,2.3586623842861787,1.039525872685373,1.3191365116008054
13,2.1965340076601336,1.4727656456050668,0.7237683620550668
14,2.0859101866427636,0.3183311418004253,1.7675790448423383
15,1.9928057314978873,1.3214195456904072,0.6713861858074801
0,1.969724134890351,1.2459557728352841,0.7237683620550668
30,1.8713122234944448,1.147543861439378,0.7237683620550668
31,1.7838757334587332,1.0601073714036664,0.7237683620550668
24,1.739514155126685,1.0157457930716183,0.7237683620550668
11,1.63333573793776,0.9095673758826933,0.7237683620550668
17,1.600016756332047,0.8762483942769803,0.7237683620550668
25,1.4382584746656022,0.7144901126105353,0.7237683620550668
29,1.410918100646398,0.6871497385913313,0.7237683620550668
4,1.4009477455820143,0.6797346116365859,0.7212131339454283
28,1.383417539215628,0.6596491771605613,0.7237683620550668
23,1.1778270451270068,0.7555756000092672,0.4222514451177396
21,1.163984492288176,0.8388317153366939,0.325152776951482
18,1.1373541730427923,0.4135858109877256,0.7237683620550668
36,1.1163954588069407,0.39262709675187396,0.7237683620550668
5,1.0849604250276037,0.7598076480761218,0.325152776951482
1,0.929700947454188,0.8894561047273838,0.040244842726804175
20,0.7698377448878418,0.04606938283277502,0.7237683620550668
9,0.40069493909735454,0.36045009637055037,0.040244842726804175
