,node,betweenness,closeness,eigenvector,degree,weighted_degree,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,centroid_row,centroid_col,bbox,mean_intensity_gray,mean_color,community_id
10,14,0.46,0.8133616356511987,0.06315353116744049,5,16.97336017630572,18347.0,1860.2377695219852,0.9062111130383524,0.5280016116035455,0.3286461505391753,302.3278722978778,127.8319391865288,145.14089496920477,1009.0612634218128,"(35, 913, 306, 1119)",0.7070603789902072,[221.02174742 165.45162697 207.6169401 ],0
11,15,0.0,0.3728092691637152,0.006130479464947399,1,2.122902597410073,42757.0,2120.977884892163,0.8753629783305791,0.7229182517541635,0.5320681931309109,356.9071111901779,172.5525578821102,187.90988610052156,1439.156769651753,"(35, 1331, 427, 1536)",0.5607299027289191,[187.4030685  125.44596206 186.11556003],5
12,16,0.0,0.5736347958259834,0.010331386062917032,1,2.5382117047690653,46692.0,2759.6429278371183,0.7017757648396331,0.7486051433335471,0.6176925824502917,310.0945614406747,220.91071610403915,184.42358433992976,1144.2698320911504,"(38, 1026, 371, 1253)",0.5838917545265343,[191.48481539 132.02728519 190.70116937],0
13,17,0.0,0.7275843382635989,0.17252090473489373,1,2.658367475078741,36130.0,1938.9068170802973,0.8394440540561344,0.6047165548060991,0.429015863968842,365.62097971068573,198.69530105395071,181.1039579296983,739.5398007196236,"(39, 600, 387, 842)",0.5573672197999598,[189.74099087 123.53047329 186.33814005],1
14,18,0.5,0.9480379713923959,0.16533173583092586,3,10.685576649990399,16929.0,1334.8042199758559,0.8117563818737406,0.5426657263751763,0.35233516483516486,222.6723882765246,130.03983143384858,141.77092563057477,859.8363754504105,"(39, 756, 247, 987)",0.6349629817727788,[213.99692835 143.13645224 194.74889243],0
15,19,0.28,0.801660370809266,0.20791258985362784,2,5.381655894848047,55643.0,1942.2144289248724,0.8658684006124865,0.8425140815214099,0.6685931942708834,385.69842427448145,192.95405998202816,219.35756519238717,506.1339252017325,"(45, 410, 457, 612)",0.5671758043380895,[186.97978182 127.58546448 188.93183329],1
16,20,0.4266666666666667,0.8869091025366417,0.056861754294300064,2,7.504502945242274,22400.0,1464.4021997223026,0.9622602860072123,0.6306128768897272,0.40295017089404567,369.2470541742078,100.48347566947203,233.37959821428572,902.0116071428571,"(69, 820, 396, 990)",0.4985806508053221,[167.99473214 109.47049107 182.02491071],0
17,21,0.0,0.5346491545206941,0.03887146237799929,1,2.7344411639158603,35573.0,1927.0367593952083,0.7530711527003302,0.674484746212624,0.5335123055926332,283.26393201666326,186.37041211537712,298.4629634835409,668.0687600146179,"(126, 543, 425, 766)",0.5581856898077028,[185.18651786 124.935541   188.71469935],3
18,23,0.0,0.6998775679464183,0.18931826173833735,2,7.288618665502201,11838.0,1052.3940110268397,0.8612518661767654,0.6822661518068123,0.5531775700934579,204.6248241041164,103.98590298541801,268.6999493157628,45.25114039533705,"(173, 0, 387, 100)",0.6458466458960676,[200.11809427 150.56952188 200.39339415],2
19,24,0.0,0.6256617065141812,0.023793098109068208,1,2.6027375148545593,7965.0,1435.9047250392443,0.8884423539022929,0.49697385661695886,0.3729456384323641,183.4639104284385,84.2077732208754,275.1367231638418,965.4772128060264,"(189, 922, 378, 1035)",0.4501239888728875,[162.76572505  94.65285625 173.08248588],0
20,25,0.0,0.6534013313180775,0.019415951045818666,1,3.1895006602345832,33722.0,2536.352559935246,0.7809321971111265,0.6727446833978374,0.4756142280894756,282.63160708255856,176.53616869925506,381.54970049226023,1069.5399739042762,"(218, 962, 521, 1196)",0.4969641627912656,[173.69613309 107.45098156 179.54231659],0
21,28,0.08,0.7032412158780573,0.2030508321871392,3,10.808771597669018,13266.0,1305.1107857999043,0.7651846934496842,0.608141560465756,0.4797483003037755,195.5091900654152,125.87093394155254,369.87456656113375,60.48198401929745,"(236, 0, 459, 124)",0.36866247192439466,[137.96102819  74.28011458 160.22493593],2
22,29,0.0,0.5962690022930703,0.05290587412807833,1,3.763108867222961,33315.0,2483.003317530329,0.7990681071437584,0.6247304367393628,0.448989218328841,309.36782912726943,186.00447374974297,448.042773525439,138.8861173645505,"(311, 0, 576, 280)",0.5358771119998352,[184.9429086  117.66957827 182.6280054 ],2
23,30,0.23,0.6581942839395405,0.10840577509273339,4,12.289347289853925,6003.0,894.4234482783625,0.8646738947467052,0.5725867989317055,0.33472733355637335,162.3443144809138,81.55100555745437,411.29868399133767,602.728135932034,"(318, 548, 465, 670)",0.3228967776242598,[123.09345327  62.63384974 157.74012994],3
24,31,0.0,0.5554511325269755,0.031115813599646342,1,3.416003433854345,38867.0,2527.9982668964453,0.44584609254032737,0.6481290021344717,0.4227798807814472,263.97068315599415,236.28270230707423,476.08050531299045,774.9482337201225,"(321, 625, 647, 907)",0.5024415353112198,[178.07726349 108.08305246 179.73033679],3
25,36,0.0,0.5573162320594612,0.030448726248514326,1,3.490843103139709,17241.0,1621.8174593052022,0.7352477240218734,0.5807005725833614,0.4088160671519693,209.0636976766931,141.70305725339045,516.7509425207354,573.9824836146395,"(409, 437, 590, 670)",0.4960945629148939,[178.33542138 105.91729018 178.01119425],3
