,node,betweenness,closeness,eigenvector,degree,weighted_degree,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,centroid_row,centroid_col,bbox,mean_intensity_gray,mean_color,community_id
0,0,0.0,0.3737053933865194,0.06396545942670541,1,3.160470671897609,2728.0,206.2426406871193,0.6189976102010353,0.992721979621543,0.9837720879913451,68.004959733972,53.41061042690357,29.13892961876833,22.62573313782991,"(0, 0, 59, 47)",0.9686274509803924,[247. 247. 247.],1
1,1,0.0,0.3737053933865194,0.06396545942670541,1,3.160470671897609,2795.0,216.8700576850888,0.6486001045247938,0.9779566130160952,0.8330849478390462,70.38009606984727,53.56835755958753,27.789982110912344,69.26153846153846,"(0, 45, 61, 100)",0.9686274509803923,[247. 247. 247.],1
2,2,0.0,0.41303907550546604,0.13930259661714817,1,2.3362673523458932,3086.0,254.33809511662426,0.7571392597673158,0.9385644768856448,0.6821396993810787,79.53070363278508,51.95371087427079,39.631885936487365,112.91963707064161,"(0, 85, 78, 143)",0.9585879459418246,[245.44102398 244.02106286 245.64549579],4
3,3,0.0,0.4114589169550896,0.14241262270648086,1,2.285247631528136,2778.0,220.976659402887,0.6361123951748532,0.9576008273009308,0.7860780984719864,69.9038365044608,53.93754932740255,27.377969762419006,156.29841612670987,"(0, 126, 62, 183)",0.965354264882339,[246.49316055 246.02951764 246.54679626],4
4,4,0.0,0.41121163853645476,0.14290147237318526,1,2.2774300597493786,2810.0,248.59797974644664,0.6409957125999347,0.8408138839018552,0.7003988035892323,71.21592090717746,54.66138547963933,30.751601423487543,202.78256227758007,"(0, 167, 68, 226)",0.9664320799665064,[246.61209964 246.36156584 246.71352313],4
5,5,0.4954954954954955,0.4919992489437785,0.23589255919612273,3,6.693900481709427,3151.0,342.77564927611036,0.6587340249331959,0.6281897926634769,0.45919556980472165,83.88386606700016,63.11219864199938,33.52745160266582,245.72834020945731,"(0, 180, 73, 274)",0.9543508709964469,[244.77054903 242.75436369 245.20469692],6
6,6,0.46846846846846846,0.45141003412696157,0.027531225618864542,2,4.991893268025015,3784.0,419.69953083036154,0.8570883467732692,0.7583166332665331,0.5005291005291005,106.35508048840764,54.79088869277828,35.21696617336152,293.0568181818182,"(0, 245, 84, 335)",0.8960623369813042,[233.9038055  225.94027484 237.91490486],6
7,13,0.4294294294294294,0.3869645863397876,0.007605918445167006,2,3.8634619967733457,3063.0,299.46298679765215,0.3808162004455319,0.7839774763245457,0.4469575368451773,70.38986338579639,65.086040428931,56.10936989879203,334.4479268690826,"(11, 285, 88, 374)",0.9406373162284831,[242.32745674 238.77668952 243.37153118],0
8,14,0.0,0.3044178601892134,0.0017316995550031092,1,1.982302957641757,2503.0,257.37972567696687,0.7036141941416739,0.7647418270699664,0.4514790764790765,71.70914048781529,50.95523895152031,64.74550539352776,411.13823411905713,"(39, 362, 105, 446)",0.954270352753167,[244.50978825 242.83180184 244.92009588],0
9,15,0.1981981981981982,0.22358806508270831,0.0017366032233935473,3,5.926916577952139,2796.0,307.1248916810278,0.5411382415180084,0.6688995215311004,0.5282448516909125,69.23949093486482,58.225817830418464,77.99427753934192,568.3154506437768,"(50, 532, 129, 599)",0.9482645657662208,[243.61623748 240.98354793 244.65164521],3
10,16,0.27927927927927926,0.27373183214103886,0.0009381686889663598,2,3.874332762917807,2624.0,230.8111831820431,0.4199924140193216,0.8225705329153605,0.6234259919220717,62.081987538668926,56.341118091537936,76.4828506097561,516.5282012195122,"(51, 483, 120, 544)",0.9632433777199905,[246.15853659 245.41006098 246.21379573],0
11,17,0.3483483483483483,0.3255896695920465,0.002170556820490366,2,4.097460314230878,2660.0,289.7167747730646,0.721487910603324,0.6941544885177453,0.456417295813315,78.71540945240912,54.50467735167151,84.95714285714286,460.0800751879699,"(52, 429, 146, 491)",0.9597083032581455,[245.79924812 244.28270677 245.95601504],0
12,18,0.1066066066066066,0.42228879538601055,0.2600590788698714,4,12.663797451965607,8946.0,901.422402257836,0.9843717962578908,0.7391555812608445,0.594616151545364,277.10731569954555,48.799351035732954,169.0118488710038,19.044042029957524,"(58, 0, 313, 59)",0.7464493701643412,[208.42477085 182.14196289 218.44612117],1
13,19,0.48348348348348347,0.47085902413309805,0.08463952827892327,2,5.323055168275256,6578.0,866.0031380615794,0.7329617666052989,0.6977829638273045,0.5860655737704918,121.46653824417102,82.63002195473058,118.34417756156887,222.30617208878078,"(58, 182, 180, 274)",0.6583492420367356,[193.02295531 156.46761934 207.00060809],6
14,20,0.5165165165165165,0.498849227319599,0.4186551837749472,6,15.589189872883043,5335.0,796.5828278447966,0.8909772392903037,0.5230392156862745,0.3398089171974522,171.36808241310706,77.80932994350339,119.48940955951265,131.21499531396438,"(59, 85, 216, 185)",0.65611941261003,[193.92446111 155.25398313 208.49934396],4
15,21,0.0945945945945946,0.43651127953671964,0.491396022362579,4,10.237410957175532,3161.0,369.27922061357856,0.773784998794,0.6661749209694415,0.5065705128205128,85.49550886723016,54.15698656277979,95.95317937361594,66.28725086997785,"(60, 22, 138, 102)",0.9299937501783377,[241.24707371 235.38310661 242.58430876],1
16,22,0.07207207207207207,0.46949997742962213,0.17795182144984012,3,7.912620069105571,7495.0,926.465078838705,0.9121353183462425,0.5746817972703573,0.3757457261743621,181.29609547959774,74.31131258945614,150.6076050700467,170.68712474983323,"(60, 120, 243, 229)",0.5976447282240448,[178.61374249 139.79092728 200.24349566],5
17,23,0.0,0.1753114258891977,0.0009259721975614283,1,1.4871687996703489,3014.0,256.16042558696057,0.575544274821287,0.8841302434731593,0.7663361301805238,70.40421982053478,57.57450252705741,92.2863304578633,614.3699402786993,"(60, 583, 129, 640)",0.9357923245768115,[241.29794293 237.43961513 242.53715992],3
18,24,0.45045045045045046,0.4211585596722706,0.013779019370684218,2,3.8416204478281006,3609.0,494.8954903232548,0.7638592902329471,0.6913793103448276,0.49506172839506174,92.18825230725515,59.49671427161557,109.69825436408978,280.6300914380715,"(73, 243, 163, 324)",0.5522068858355201,[171.97478526 126.10529232 194.90135772],6
19,25,0.4189189189189189,0.357893310291616,0.0044152098266345445,3,5.992207672159508,9409.0,815.9259735953042,0.8287779743307356,0.7380765610291811,0.5014923782112781,155.78153874225393,87.17185662866298,121.15283239451588,387.0917206929536,"(77, 308, 195, 467)",0.5975787163729346,[184.21500691 138.02646402 201.0090339 ],0
20,26,0.3153153153153153,0.29866671520703586,0.0011306679432055346,2,4.2743507954582185,13296.0,1413.4133470105958,0.9812173033960259,0.5663897763578275,0.32855589601660573,370.8313826061494,71.53548208385936,239.99691636582432,468.2617328519856,"(91, 398, 393, 532)",0.6338265618142563,[186.71156739 149.80813779 204.94900722],0
21,27,0.24024024024024024,0.24659040168782223,0.0011698126752496484,2,3.5614756543529538,1756.0,260.7878425849301,0.926231514002247,0.790990990990991,0.5189125295508275,85.37967322114946,32.18430722677797,130.01651480637813,538.3314350797267,"(100, 518, 172, 565)",0.5589548787350931,[176.32232346 126.97095672 197.36446469],0
22,28,0.0,0.43780755821037337,0.2951893454116135,3,9.927307144548235,5376.0,622.2802666341051,0.8896604931526798,0.7480172533741478,0.5381381381381382,129.40133678532345,59.08757599305848,174.9164806547619,99.62611607142857,"(106, 67, 241, 141)",0.6285701118989263,[188.81417411 147.28087798 205.2375372 ],1
23,29,0.1066066066066066,0.19802412985674403,0.001756350418877072,4,9.555771588426195,1607.0,298.9716087690037,0.9305680894674854,0.6272443403590945,0.38261904761904764,88.29667256685704,32.327078454585845,130.11885500933417,604.5924082140634,"(107, 565, 163, 640)",0.46669641641348514,[154.60734287 101.97573118 183.0802738 ],3
24,31,0.0,0.20933094919109263,0.0009528509317738872,2,5.779776770269412,2074.0,292.1076477383248,0.7481323770493209,0.7431028305266929,0.4927536231884058,67.52197335327926,44.804172037156334,151.81677917068467,560.0978784956606,"(116, 529, 185, 590)",0.677650270387808,[203.83172613 159.38235294 214.48601736],3
