,community_id,size,mean_betweenness,mean_degree,mean_area,total_area
0,0,7,0.2902187902187902,2.0,5044.428571428572,35311.0
1,1,6,0.04504504504504505,2.8333333333333335,4244.0,25464.0
2,2,6,0.06006006006006006,1.8333333333333333,5029.333333333333,30176.0
3,3,5,0.060960960960960965,2.2,6572.0,32860.0
4,4,5,0.16576576576576577,2.6,3278.0,16390.0
5,5,5,0.11231231231231231,2.6,10166.2,50831.0
6,6,4,0.47447447447447444,2.25,4280.5,17122.0
