label,anomaly_score,z_area,z_betweenness
39,4.495449416849243,3.809593177112468,0.6858562397367752
34,4.179354454646202,3.4712259014891296,0.7081285531570716
14,2.7456458684121294,0.5771522941281708,2.168493574283959
5,2.5037568482451786,0.45142867336904063,2.052328174876138
18,2.4763075689343688,0.6729052499321314,1.8034023190022372
13,2.454450198139922,0.46850225149682373,1.985947946643098
6,2.231587982960762,0.3286153216089644,1.9029726613517977
26,2.202739499394549,1.516883259657774,0.6858562397367752
19,1.8426250038386558,0.21347078394814947,1.6291542198905062
29,1.7910220566605994,0.7509923623383261,1.0400296943222733
27,1.4079399300178324,0.722083690281057,0.6858562397367752
47,1.393684717657554,0.7078284779207787,0.6858562397367752
28,1.358479493213661,0.019738771842706233,1.3387407213709548
31,1.3462422272378887,0.6603859875011135,0.6858562397367752
37,1.3329571045439619,0.6471008648071865,0.6858562397367752
61,1.3089907840499984,0.623134544313223,0.6858562397367752
53,1.3082147123169172,0.622358472580142,0.6858562397367752
40,1.2866787217239182,0.6008224819871428,0.6858562397367752
17,1.2325477183415148,0.5466914786047395,0.6858562397367752
0,1.219354498879137,0.5334982591423617,0.6858562397367752
3,1.209653602215624,0.5237973624788486,0.6858562397367752
1,1.2063552973500293,0.5204990576132541,0.6858562397367752
4,1.2034450283509754,0.5175887886142002,0.6858562397367752
2,1.149896078768383,0.46403983903160767,0.6858562397367752
72,1.1325365794757805,0.44668033973900517,0.6858562397367752
21,1.0912368189603694,0.449488494036338,0.6417483249240314
20,1.0843182584873203,0.027693507106787002,1.0566247513805334
22,1.0772414684937557,0.39138522875698034,0.6858562397367752
25,1.0669054804330564,0.7627355530362631,0.3041699273967933
24,1.0484246996680355,0.36256845993126036,0.6858562397367752
51,0.9906073555534973,0.30475111581672204,0.6858562397367752
32,0.9730283138134264,0.5858831011253326,0.3871452126880937
42,0.913582236045203,0.2277259963084278,0.6858562397367752
16,0.8412509945410023,0.553676124202469,0.28757487033853324
60,0.8121108569448556,0.12625461720808043,0.6858562397367752
44,0.7579798535624523,0.07212361382567714,0.6858562397367752
15,0.6834169820815664,0.5203050396799839,0.16311194240158255
23,0.5747408443956089,0.4780091302270666,0.09673171416854227
