node,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,centroid_row,centroid_col,bbox,mean_intensity_gray,mean_color
37,8813.0,778.6477990022522,0.8336119167450944,0.7538277307330425,0.5348343245539507,147.3045146896232,81.36373533008651,254.98059684556904,222.70361965278565,"(176, 171, 330, 278)",0.6669912495578056,[191.05106093 160.07023715 207.63065925]
38,4409.0,630.6000717874997,0.9538054170027952,0.6462914101436529,0.3919807965860597,155.5822944949863,46.74082270138584,257.83488319346793,435.52506237242005,"(184, 399, 336, 473)",0.5896379524057299,[174.15332275 138.61124972 196.77682014]
39,25113.0,1823.0529573173853,0.811107973054114,0.64008258143447,0.4580658105939005,283.15113502529664,165.61409340546265,328.8202922788994,70.22084179508622,"(197, 0, 505, 178)",0.6741736150091782,[191.86528889 162.40704018 207.44662127]
40,2381.0,426.3269478283311,0.7353493727632732,0.6317325550543911,0.4180126404494382,82.39961938896735,55.841249960666495,242.87988240235197,136.32465350692985,"(207, 92, 271, 181)",0.8453783038927457,[225.75052499 210.98782024 231.05123898]
41,2084.0,409.9127342659579,0.3048735733982461,0.6569987389659521,0.5250692869740489,61.37861821446634,58.45655595457953,259.62859884836854,561.8248560460653,"(228, 534, 291, 597)",0.7771994318994393,[214.73944338 190.63819578 224.28790787]
42,4304.0,743.0914498161482,0.8977119399088028,0.5020998600093327,0.31628453850676075,149.0062635550009,65.64960853151683,313.1684479553903,193.4381970260223,"(232, 155, 394, 239)",0.8159733574786792,[222.57016729 201.71166357 228.46770446]
43,2984.0,431.70562748477136,0.8939828168917054,0.7162746039366299,0.4933862433862434,99.79542989365683,44.718456083546386,306.98659517426273,329.03451742627345,"(250, 301, 358, 357)",0.569569901303685,[169.9383378  132.88706434 195.0211126 ]
44,5106.0,828.2691193458119,0.9287538687148862,0.5728068207314337,0.37968471148126115,173.88379945316433,64.45819941405665,340.86486486486484,266.93125734430083,"(268, 229, 432, 311)",0.6560366619048716,[187.4453584  157.37720329 206.23521347]
45,5904.0,671.422402257836,0.8706314572683826,0.7325970964139471,0.5206349206349207,132.5721139741452,65.21697356639653,333.23340108401084,552.3807588075881,"(270, 515, 405, 599)",0.7036536539534514,[197.28438347 170.83248645 212.13855014]
46,8802.0,971.8082245892128,0.8688866345722229,0.6696591600730372,0.5,175.07018929512537,86.66169177922234,418.56543967280163,215.78527607361963,"(325, 171, 488, 279)",0.6843546958133401,[197.27187003 164.04374006 211.27993638]
47,9126.0,1027.5422433049807,0.4826966147375724,0.5749385749385749,0.39241486068111453,138.55302017346324,121.34302158312558,416.0552268244576,135.6622835853605,"(328, 56, 480, 209)",0.6700666449231457,[191.26857331 161.03725619 208.27142231]
48,14011.0,1140.6904755831213,0.8011386391212121,0.6514623145952481,0.48260540093689724,204.0548172510216,122.12248333167521,415.98836628363426,323.56676896724,"(332, 239, 484, 430)",0.6955093904649148,[199.16037399 167.3422311  212.43665691]
49,3785.0,564.4518395093589,0.5357408403340129,0.5800766283524904,0.4060287491954516,91.1328585832436,76.95098803197527,403.59286657859974,432.61875825627476,"(344, 392, 462, 471)",0.7414856679876706,[209.99075297 179.92972259 218.22589168]
50,4507.0,503.12593770155434,0.8689732762776691,0.780297783933518,0.6642593957258659,111.69175471384645,55.271671765156846,408.9238961615265,59.612602618149545,"(352, 31, 467, 90)",0.7366039293995833,[205.50698913 179.65853117 216.86620812]
51,3907.0,451.5462479183374,0.7049680032053836,0.7016882183908046,0.5230254350736279,90.63918290004308,64.28485336661767,471.6324545687228,131.94010749936012,"(430, 91, 513, 181)",0.8151117740405607,[224.21448682 200.84796519 229.14410033]
52,2169.0,295.2436867076458,0.827348534989522,0.7997787610619469,0.54225,74.50879405457943,41.85076133039626,476.1904103273398,590.0069156293223,"(437, 569, 517, 619)",0.5716404118641463,[168.73674504 134.05071462 194.33932688]
53,2270.0,371.90663761154804,0.8862081486220302,0.6633547632963179,0.43444976076555025,85.0328211623561,39.39462566650622,489.5471365638767,59.151101321585905,"(459, 5, 514, 100)",0.8601369404854453,[231.13215859 214.3030837  234.49251101]
54,2089.0,429.01933598375615,0.6663904353696684,0.5911148839841539,0.44211640211640213,70.10946815366067,52.273827622896235,495.1182383915749,244.4231689803734,"(460, 210, 523, 285)",0.6904560895071289,[216.70368597 159.99712781 215.73958832]
55,2071.0,569.1381310103741,0.595072954543434,0.43517545702878757,0.24760879961740795,83.36502036170008,66.99810646195527,515.5398358281024,597.733462095606,"(465, 534, 547, 636)",0.7401540455023149,[215.11395461 177.63882183 221.14775471]
56,3855.0,472.78279195104676,0.950765340721925,0.7366711255493981,0.5885496183206107,132.0962257474053,40.938166968679695,493.4645914396887,381.79325551232165,"(467, 316, 517, 447)",0.6579622704407314,[216.3229572  148.98806744 211.17457847]
57,2344.0,374.07821048680194,0.8259292214626505,0.7371069182389937,0.5883534136546185,79.41835805838556,44.77399117231519,495.90784982935156,294.35665529010237,"(470, 250, 518, 333)",0.6399686113899485,[208.25213311 145.30076792 207.90912969]
58,2571.0,433.47518010647195,0.9441721483442062,0.5914423740510697,0.38499550763701706,118.18826993782547,38.93742181510833,505.00272267600155,173.6444963049397,"(477, 124, 540, 230)",0.6715935680783398,[216.66549981 153.52625438 213.34616881]
59,2616.0,282.6934341759516,0.8694836717639047,0.8582677165354331,0.6264367816091954,85.31881137874163,42.14422368298205,506.28975535168195,475.69227828746176,"(483, 429, 531, 516)",0.6350712325358279,[214.06039755 142.00993884 206.12232416]
60,4827.0,532.0315292925759,0.8824790533660709,0.6347140039447732,0.41309370988446725,136.87766791625685,64.38064360397685,534.7913818106484,107.21939092604102,"(490, 46, 585, 169)",0.7096048599178639,[218.39154755 166.10524135 217.8827429 ]
61,2266.0,220.57463914933368,0.4800201391432172,0.8810264385692068,0.7490909090909091,58.95746545863209,51.720876896673076,525.6421006178288,23.597087378640776,"(500, 0, 555, 55)",0.6629816584462558,[212.85878199 151.72241836 212.00573698]
62,2120.0,271.37972567696687,0.9148670311276311,0.7333102732618471,0.3970037453183521,85.34224750921976,34.45738190045153,528.7245283018868,541.7391509433962,"(501, 494, 561, 583)",0.6818521274509803,[222.07688679 155.45424528 214.5490566 ]
